sample_id,file,pair_id,mate
MB_1,../input/demux/TS_SN_001/HNJJFDRXX/L001/TS_SN_001_S1_L001_R1_001.fastq.gz,TS_SN_001_1,1
MB_1,../input/demux/TS_SN_001/HNJJFDRXX/L001/TS_SN_001_S1_L001_R2_001.fastq.gz,TS_SN_001_1,2
MB_1,../input/demux/TS_SN_001/HNJJFDRXX/L002/TS_SN_001_S1_L002_R1_001.fastq.gz,TS_SN_001_2,1
MB_1,../input/demux/TS_SN_001/HNJJFDRXX/L002/TS_SN_001_S1_L002_R2_001.fastq.gz,TS_SN_001_2,2
MT_1,../input/demux/TS_SN_002/HNJJFDRXX/L001/TS_SN_002_S2_L001_R1_001.fastq.gz,TS_SN_002_3,1
MT_1,../input/demux/TS_SN_002/HNJJFDRXX/L001/TS_SN_002_S2_L001_R2_001.fastq.gz,TS_SN_002_3,2
MT_1,../input/demux/TS_SN_002/HNJJFDRXX/L002/TS_SN_002_S2_L002_R1_001.fastq.gz,TS_SN_002_4,1
MT_1,../input/demux/TS_SN_002/HNJJFDRXX/L002/TS_SN_002_S2_L002_R2_001.fastq.gz,TS_SN_002_4,2
MT_A24_1,../input/demux/TS_SN_003/HNJJFDRXX/L001/TS_SN_003_S3_L001_R1_001.fastq.gz,TS_SN_003_5,1
MT_A24_1,../input/demux/TS_SN_003/HNJJFDRXX/L001/TS_SN_003_S3_L001_R2_001.fastq.gz,TS_SN_003_5,2
MT_A24_1,../input/demux/TS_SN_003/HNJJFDRXX/L002/TS_SN_003_S3_L002_R1_001.fastq.gz,TS_SN_003_6,1
MT_A24_1,../input/demux/TS_SN_003/HNJJFDRXX/L002/TS_SN_003_S3_L002_R2_001.fastq.gz,TS_SN_003_6,2
MT_Ctrl24_1,../input/demux/TS_SN_004/HNJJFDRXX/L001/TS_SN_004_S4_L001_R1_001.fastq.gz,TS_SN_004_7,1
MT_Ctrl24_1,../input/demux/TS_SN_004/HNJJFDRXX/L001/TS_SN_004_S4_L001_R2_001.fastq.gz,TS_SN_004_7,2
MT_Ctrl24_1,../input/demux/TS_SN_004/HNJJFDRXX/L002/TS_SN_004_S4_L002_R1_001.fastq.gz,TS_SN_004_8,1
MT_Ctrl24_1,../input/demux/TS_SN_004/HNJJFDRXX/L002/TS_SN_004_S4_L002_R2_001.fastq.gz,TS_SN_004_8,2
MT_A72_1,../input/demux/TS_SN_005/HNJJFDRXX/L001/TS_SN_005_S5_L001_R1_001.fastq.gz,TS_SN_005_9,1
MT_A72_1,../input/demux/TS_SN_005/HNJJFDRXX/L001/TS_SN_005_S5_L001_R2_001.fastq.gz,TS_SN_005_9,2
MT_A72_1,../input/demux/TS_SN_005/HNJJFDRXX/L002/TS_SN_005_S5_L002_R1_001.fastq.gz,TS_SN_005_10,1
MT_A72_1,../input/demux/TS_SN_005/HNJJFDRXX/L002/TS_SN_005_S5_L002_R2_001.fastq.gz,TS_SN_005_10,2
MT_Ctrl72_1,../input/demux/TS_SN_006/HNJJFDRXX/L001/TS_SN_006_S6_L001_R1_001.fastq.gz,TS_SN_006_11,1
MT_Ctrl72_1,../input/demux/TS_SN_006/HNJJFDRXX/L001/TS_SN_006_S6_L001_R2_001.fastq.gz,TS_SN_006_11,2
MT_Ctrl72_1,../input/demux/TS_SN_006/HNJJFDRXX/L002/TS_SN_006_S6_L002_R1_001.fastq.gz,TS_SN_006_12,1
MT_Ctrl72_1,../input/demux/TS_SN_006/HNJJFDRXX/L002/TS_SN_006_S6_L002_R2_001.fastq.gz,TS_SN_006_12,2
MB_2,../input/demux/TS_SN_007/HNJJFDRXX/L001/TS_SN_007_S7_L001_R1_001.fastq.gz,TS_SN_007_13,1
MB_2,../input/demux/TS_SN_007/HNJJFDRXX/L001/TS_SN_007_S7_L001_R2_001.fastq.gz,TS_SN_007_13,2
MB_2,../input/demux/TS_SN_007/HNJJFDRXX/L002/TS_SN_007_S7_L002_R1_001.fastq.gz,TS_SN_007_14,1
MB_2,../input/demux/TS_SN_007/HNJJFDRXX/L002/TS_SN_007_S7_L002_R2_001.fastq.gz,TS_SN_007_14,2
MT_2,../input/demux/TS_SN_008/HNJJFDRXX/L001/TS_SN_008_S8_L001_R1_001.fastq.gz,TS_SN_008_15,1
MT_2,../input/demux/TS_SN_008/HNJJFDRXX/L001/TS_SN_008_S8_L001_R2_001.fastq.gz,TS_SN_008_15,2
MT_2,../input/demux/TS_SN_008/HNJJFDRXX/L002/TS_SN_008_S8_L002_R1_001.fastq.gz,TS_SN_008_16,1
MT_2,../input/demux/TS_SN_008/HNJJFDRXX/L002/TS_SN_008_S8_L002_R2_001.fastq.gz,TS_SN_008_16,2
MT_A24_2,../input/demux/TS_SN_009/HNJJFDRXX/L001/TS_SN_009_S9_L001_R1_001.fastq.gz,TS_SN_009_17,1
MT_A24_2,../input/demux/TS_SN_009/HNJJFDRXX/L001/TS_SN_009_S9_L001_R2_001.fastq.gz,TS_SN_009_17,2
MT_A24_2,../input/demux/TS_SN_009/HNJJFDRXX/L002/TS_SN_009_S9_L002_R1_001.fastq.gz,TS_SN_009_18,1
MT_A24_2,../input/demux/TS_SN_009/HNJJFDRXX/L002/TS_SN_009_S9_L002_R2_001.fastq.gz,TS_SN_009_18,2
MT_Ctrl24_2,../input/demux/TS_SN_010/HNJJFDRXX/L001/TS_SN_010_S10_L001_R1_001.fastq.gz,TS_SN_010_19,1
MT_Ctrl24_2,../input/demux/TS_SN_010/HNJJFDRXX/L001/TS_SN_010_S10_L001_R2_001.fastq.gz,TS_SN_010_19,2
MT_Ctrl24_2,../input/demux/TS_SN_010/HNJJFDRXX/L002/TS_SN_010_S10_L002_R1_001.fastq.gz,TS_SN_010_20,1
MT_Ctrl24_2,../input/demux/TS_SN_010/HNJJFDRXX/L002/TS_SN_010_S10_L002_R2_001.fastq.gz,TS_SN_010_20,2
